2026-02-13 14:17:18,267 | INFO | Lendo Excel: /sapataria_app-main/SCRIPT_ETL/Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:17:24,814 | INFO | Lendo Excel: /sapataria_app-main/SCRIPT_ETL/Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:18:08,167 | INFO | Lendo Excel: c:\Users\Aloise pc\Documents\GitHub\appsapatariadjango\sapataria_app-main\SCRIPT_ETL\Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:19:06,878 | INFO | Lendo Excel: c:\Users\Aloise pc\Documents\GitHub\appsapatariadjango\sapataria_app-main\SCRIPT_ETL\Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:19:09,880 | INFO | DRY_RUN POST suppliers | params=None | json=[{'name': 'KeyInvoice Import'}]
2026-02-13 14:19:09,882 | INFO | Iniciando ETL (Supabase REST) | dry_run=True | supplier=KeyInvoice Import
2026-02-13 14:19:10,029 | INFO | DRY_RUN POST brands | params=None | json=[{'name': 'SORRISO'}]
2026-02-13 14:19:10,620 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:10,621 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600611000', 'cor_id': 39, 'tamanho_id': 47, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:10,724 | WARNING | Linha 1 rejeitada por erro: GTIN inválido (menos de 8 dígitos)
2026-02-13 14:19:10,728 | WARNING | Linha 2 rejeitada por erro: GTIN inválido (menos de 8 dígitos)
2026-02-13 14:19:10,844 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '38.5'}]
2026-02-13 14:19:11,073 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:11,095 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600628000', 'cor_id': 39, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:11,201 | WARNING | Linha 4 rejeitada por erro: GTIN inválido (menos de 8 dígitos)
2026-02-13 14:19:11,404 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:11,405 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603391000', 'cor_id': 38, 'tamanho_id': 47, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:11,622 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '35.5'}]
2026-02-13 14:19:11,721 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:11,722 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600109000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:12,060 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:12,062 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603407000', 'cor_id': 38, 'tamanho_id': 49, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:12,365 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '36.5'}]
2026-02-13 14:19:12,460 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:12,460 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603414000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:12,791 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:12,792 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603421000', 'cor_id': 38, 'tamanho_id': 45, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:13,006 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '37.5'}]
2026-02-13 14:19:13,102 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:13,103 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603438000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:13,411 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:13,416 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603445000', 'cor_id': 38, 'tamanho_id': 41, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:13,596 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:13,597 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600116000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:13,891 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:13,893 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603452000', 'cor_id': 38, 'tamanho_id': 38, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:14,119 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '39.5'}]
2026-02-13 14:19:14,219 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:14,220 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600123000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:14,548 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:14,563 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603469000', 'cor_id': 38, 'tamanho_id': 39, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:14,813 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '40.5'}]
2026-02-13 14:19:14,936 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:14,937 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603476000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:15,230 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:15,231 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603483000', 'cor_id': 38, 'tamanho_id': 1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:15,437 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '41.5'}]
2026-02-13 14:19:15,545 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:15,546 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603490000', 'cor_id': 38, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:15,758 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '42'}]
2026-02-13 14:19:15,869 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
